name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
R1,-4,0.25,-4.5,-3.5,-3.85638,0.00864082,-3.87367,-3.8391
KPKP775,0.886491,0.5,-0.113509,1.88649,0.7901,0.495629,-0.201159,1.78136
KPKP776,0.886491,0.5,-0.113509,1.88649,0.726026,0.482933,-0.23984,1.69189
KPKP777,0.886491,0.5,-0.113509,1.88649,0.768058,0.383232,0.0015932,1.53452
KPKP778,0.886491,0.5,-0.113509,1.88649,0.850953,0.393485,0.0639828,1.63792
KPKP779,0.886491,0.5,-0.113509,1.88649,0.880418,0.408126,0.0641671,1.69667
KPKP780,0.886491,0.5,-0.113509,1.88649,0.895183,0.497787,-0.100392,1.89076
KPKP781,0.886491,0.5,-0.113509,1.88649,0.695366,0.476972,-0.258577,1.64931
KPKP782,0.886491,0.5,-0.113509,1.88649,0.589915,0.419909,-0.249904,1.42973
KPKP783,0.886491,0.5,-0.113509,1.88649,0.743906,0.47319,-0.202475,1.69029
KPKP784,0.886491,0.5,-0.113509,1.88649,0.926382,0.385948,0.154485,1.69828
KPKP785,0.886491,0.5,-0.113509,1.88649,0.911196,0.441655,0.0278856,1.79451
KPKP786,0.886491,0.5,-0.113509,1.88649,0.938597,0.318849,0.300899,1.57629
KPKP787,0.886491,0.5,-0.113509,1.88649,0.64185,0.444785,-0.24772,1.53142
KPKP788,0.886491,0.5,-0.113509,1.88649,0.771437,0.447459,-0.123481,1.66636
KPKP789,0.886491,0.5,-0.113509,1.88649,0.876815,0.461625,-0.0464344,1.80006
KPKP790,0.886491,0.5,-0.113509,1.88649,0.879188,0.491757,-0.104327,1.8627
KPKP791,0.886491,0.5,-0.113509,1.88649,0.915764,0.442192,0.0313789,1.80015
KPKP792,0.886491,0.5,-0.113509,1.88649,0.799335,0.498058,-0.196781,1.79545
KPKP793,0.886491,0.5,-0.113509,1.88649,0.840458,0.488476,-0.136493,1.81741
KPKP794,0.886491,0.5,-0.113509,1.88649,0.851511,0.491656,-0.131801,1.83482
KPKP795,0.886491,0.5,-0.113509,1.88649,0.872656,0.488023,-0.10339,1.8487
KPKP796,0.886491,0.5,-0.113509,1.88649,0.881995,0.496411,-0.110826,1.87482
KPKP797,0.886491,0.5,-0.113509,1.88649,0.821217,0.498669,-0.17612,1.81855
KPKP798,0.886491,0.5,-0.113509,1.88649,0.845065,0.496876,-0.148687,1.83882
KPKP799,0.886491,0.5,-0.113509,1.88649,0.854827,0.441008,-0.0271877,1.73684
KPKP800,0.886491,0.5,-0.113509,1.88649,0.859228,0.400709,0.0578089,1.66065
KPKP801,0.886491,0.5,-0.113509,1.88649,0.878468,0.497227,-0.115986,1.87292
KPKP802,0.886491,0.5,-0.113509,1.88649,0.787272,0.487601,-0.18793,1.76247
KPKP803,0.886491,0.5,-0.113509,1.88649,0.831888,0.49976,-0.167631,1.83141
KPKP804,0.886491,0.5,-0.113509,1.88649,0.830392,0.444075,-0.0577587,1.71854
KPKP805,0.886491,0.5,-0.113509,1.88649,0.825924,0.411815,0.00229518,1.64955
KPKP806,0.886491,0.5,-0.113509,1.88649,0.840725,0.382664,0.0753962,1.60605
KPKP807,0.886491,0.5,-0.113509,1.88649,0.739649,0.461976,-0.184302,1.6636
KPKP808,0.886491,0.5,-0.113509,1.88649,0.771998,0.489286,-0.206574,1.75057
KPKP809,0.886491,0.5,-0.113509,1.88649,0.771951,0.423195,-0.0744394,1.61834
KPKP810,0.886491,0.5,-0.113509,1.88649,0.790158,0.450123,-0.110089,1.6904
KPKP811,0.886491,0.5,-0.113509,1.88649,0.823323,0.453301,-0.0832784,1.72992
KPKP812,0.886491,0.5,-0.113509,1.88649,0.741547,0.459258,-0.176968,1.66006
KPKP813,0.886491,0.5,-0.113509,1.88649,0.685477,0.464686,-0.243894,1.61485
KPKP814,0.886491,0.5,-0.113509,1.88649,0.686749,0.386157,-0.0855637,1.45906
KPKP815,0.886491,0.5,-0.113509,1.88649,0.690756,0.435059,-0.179362,1.56087
KPKP816,0.886491,0.5,-0.113509,1.88649,0.734259,0.301995,0.13027,1.33825
KPKP817,0.886491,0.5,-0.113509,1.88649,0.810653,0.486271,-0.161889,1.7832
KPKP818,0.886491,0.5,-0.113509,1.88649,0.787442,0.491645,-0.195847,1.77073
